id,puzzle,solution,clues,difficulty
1,..149....642.31........8........67...54...9..9....5..8...6....5.......2...5.24.81,831497562642531879579268134128946753754382916963175248287613495416859327395724681,25,4.5
2,..6...7.9..8..9.6.15...2........8...37.....5....431..........1.28...7.4....5..8.6,436815729728349561159672384642758193371296458895431672564983217283167945917524836,24,1.2
3,625..1..8.7..8...68........2....4....4..1.3........1.......7.32.....6.9..84.3....,625371948473985216819462753231794685547618329968523174196857432352146897784239561,23,0.0
4,...8.9.....4...7..8...5...2.6.....24.......5.91..8...36...3......1..4..6..81.5...,127849365534216798896357412763591824482673159915482673659738241371924586248165937,23,0.0
5,.....64..7.4...5.....8..69.6...91..5..3..4...5.7..31...3.6...7....4.......1....8.,398156427764329518125847693642791835913584762587263149839615274276438951451972386,24,0.0
6,5..8.......647.........9.126..1.78..........6.9.3.52.7.2....4.58........4.9.8....,532816974916472538784539612645127893273948156198365247327691485861754329459283761,25,2.1
7,...2...5.4...81.....6.....96....82...97.3..1..54..7.....1..35.....79......2...7..,138269457479581326526374189613958274297436815854127963761843592385792641942615738,24,1.7
8,3......9.4...9.216..7.4......9.51..2.8....3.......9.5..4.....2..1.8....3....164..,321568794458793216967142538639451872185627349274389651846935127512874963793216485,25,1.0
9,..7.5.39..1.64.........1.....1.36...7....85..8.4...9.3...9...7.6.3.8.....48...2..,467852391312649785589371624291536847736498512854127963125963478673284159948715236,26,0.0
10,......2.6...7....8.5......36.1.5.32.....37.....2......9...7......36..4915..81....,148593276369742518257186943671458329895237164432961785916374852783625491524819637,24,0.0
11,7....1..3...4...2.....62........419.3..9.87..58.........534......7...6...1...6...,724851963156493827938762415672534198341928756589617342865349271297185634413276589,23,0.0
12,..4.2..1..2.1....8......9.......32...67...5....94.5.6.4.....7..6.12...3....97....,984327615526149378713586924845763291167892543239415867498631752671258439352974186,24,0.0
13,.5.1...2...2.5.78...14........83.9.5.47.9.........2......3.9...96........85.....4,859173426432956781671428539126834975347591268598762143714389652963245817285617394,24,1.8
14,7.1..4.52.........6452.9.....6..23.5......79..1........8..439..5..8...4.....7....,791384652823657419645219873476192385352468791918735264187543926539826147264971538,25,0.0
15,...1....7.2.3...5.....6.32.4...2........58..39.1.........2.4....68.3.2........58.,835142697624397158197865324483621975276958413951473862519284736768539241342716589,23,0.0
16,...1....78.9.4......6..84.5.8......49...........37.8.....5..3.2.176....9.5...3.7.,245136987839745216176928435783251694921864753564379821498517362317682549652493178,25,1.4
17,....6.9.......34..31..7.....526..........5.4...9....72....4...384...9.1.93...6...,574862931298153467316974258452617389783295146169438572625741893847329615931586724,24,2.2
18,...1.76..178...5.9.9....4...6.31...7..3.5.........2.......3.....15...2...8.....64,534197628178246539296583471862314957743659812951872346629431785415768293387925164,24,0.0
19,........8..61..42....59.7.396..........34..7..24.......4.6.....5....1..4.127..3..,275463198396178425481592763963257841158346972724819536849635217537921684612784359,25,0.0
20,..8.9.....6....3.2.7.1....88..4.3..7....1..692.....1...2.7....1..9.....3....4.5..,318296475965874312472135698891463257734512869256987134623758941549621783187349526,24,2.8
21,....7.8.......6..996..5..12.9...7...3.2..46....432..5.1.3.6..8.......3.1.2.......,245971836831246579967853412598617243312584697674329158153762984786495321429138765,26,3.3
22,815.9...6...5...92......8.1..6.5....5.367.4..2....3...32......4.4....1...........,815392746467518392932746851186254937593671428274983615328169574749825163651437289,24,2.2
23,31...2..992...4.7..8.....45...3.6...1......3...8.7.4.1.....9....9......8...48..2.,314752869925864173786193245249316587157948632638275491862539714491627358573481926,25,1.6
24,........75...48.1..9....4.........9....5....6971..68..75.6.......84.....13...59..,413962587527348619896157423645871392382594176971236854759683241268419735134725968,24,1.3
25,..72..6.5...4.3...29.........3..8..15..69..8.6........8..3......7481.5......2...4,437289615168453729295761348723548961541697283689132457852374196974816532316925874,25,0.0
26,........74.6.....3...9..5..5.4.2.....2......6.9.85..2.....63..8..2.75.4...3......,259631487476582193138947562564729831827314956391856724915463278682175349743298615,23,0.0
27,..8....5.49...53....2.........536........1.7....72.4.52.9.6......52.3..8.1.....3.,768342159491675382352198647974536821526481973183729465239867514645213798817954236,25,5.3
28,1.3.3....,123231312,1,0.0
29,4..3513.52.4.1...1..4..31,4123513452245133512442531,1,0.0